sample_id,x,y,body_site
SP_221SPT_T016_R,12.996441,6.3921995,non-gut
EGAR00001420844_9002000001441266,14.973177,4.6344304,stool
EGAR00001420599_9002000001380900,14.084932,4.059252,stool
SK_CT105OSL_t1M14,13.939149,6.224399,non-gut
SAMN28062165,14.989826,5.0979905,stool
SAMEA4031763,12.492026,5.39943,non-gut
SAMN09781790,14.888914,5.6961246,stool
SAMN06110015,14.3455105,5.002805,stool
EGAR00001421033_9002000001491867,13.828314,5.429004,stool
SP_322SPT_T016,12.94318,5.6601324,non-gut
SAMEA3449358,13.661326,4.812702,stool
SAMEA4031753,12.11987,5.659385,non-gut
NCS-045-I-ORAL1_microbiome,12.001237,6.1351905,non-gut
SP_402SPT_T016,13.047296,6.913111,non-gut
SP_303SPI_T016,15.59503,5.617586,non-gut
SAMEA3646695,15.550839,4.4055896,stool
M0x20MCx1534,15.110469,3.8566346,stool
SAMD00164812,15.571451,5.1059585,stool
SAMN06110022,14.389518,5.553493,stool
SAMN00791904,14.559827,4.151791,stool
ES_099,12.428757,6.6299605,non-gut
SP_304SPI_T016,14.8356495,3.4877489,non-gut
SP_187SPT_T016_R,12.239018,5.0507507,non-gut
S31-01-D,14.157252,3.359928,non-gut
